TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ
FI;01.353.626/0001-44;SELEÇÃO GUIDE MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2021-12-31;104078209.38
FI;01.361.072/0001-27;TOP RENDA FIXA MIX CRÉDITO PRIVADO LONGO PRAZO - FDO DE INVEST EM COTAS DE FDOS DE INVEST;2021-12-31;8898923.94
FI;01.361.073/0001-71;TOP RENDA MISTA CORP RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO - FDO DE INV EM COTAS DE FDOS DE INVEST;2021-12-31;22378001.64
FI;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉDITO PRIVADO LONGO PRAZO - FUNDO DE INVESTIMENTO;2021-12-31;2585985569.58
FI;01.363.042/0001-50;FUNDO DE INVESTIMENTO RENDA FIXA MAPFRE PRIVADO I;2021-12-31;99162644.77
FI;01.375.954/0001-41;PLANNER FUNDO DE INVESTIMENTO MULTIMERCADO;2021-12-31;20441128.47
FI;01.380.701/0001-66;SANTANDER PB VII MULT CRÉD PRIV FI;2021-12-31;40293234.55
FI;01.392.020/0001-18;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO PGBL/VGBL FUTURE COMPOSTO III;2021-12-31;33599913.45
FI;01.392.021/0001-62;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA PGBL/VGBL FUTURE;2021-12-31;751806630.39
FI;01.410.032/0001-28;BB CAP FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;1832557751.37
FI;01.424.041/0001-78;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA ÁGUIA;2021-12-31;117053551.97
FI;01.430.938/0001-04;BTG PACTUAL DOLAR FUNDO DE INVESTIMENTO CAMBIAL;2021-12-31;311899209.92
FI;01.433.414/0001-77;ITAÚ PERSONNALITÉ PRÊMIO RENDA FIXA REFERENCIADO DI FUNDO DE INVEST EM COTAS DE FDOS DE INVEST;2021-12-31;41025719.71
FI;01.434.078/0001-87;RT SCALA RENDA FIXA FUNDO DE INVESTIMENTO;2021-12-31;1104114243.17
FI;01.452.621/0001-79;PB II FICFI MULTIMERCADO CRÉDITO PRIVADO IE;2021-12-31;9416696.40
FI;01.464.595/0001-07;CSHG FUNDO DE INVESTIMENTO CAMBIAL;2021-12-31;59066371.59
FI;01.490.766/0001-64;WESTERN ASSET DI GOLD FICFI RENDA FIXA REFERENCIADO;2021-12-31;6232574.01
